Complexity	Model	Value	Type
3_modality	ClinicalTranscriptomicsProteomics	0.63208711074445	Weighted LogLoss
4_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetb	0.767195767195767	AUROC
4_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetb	0.500782050051203	AUPRC
4_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetb	0.638747408428221	Weighted LogLoss
5_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetb	0.752747252747253	AUROC
5_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetb	0.500782050051203	AUPRC
5_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetb	0.651439397713695	Weighted LogLoss
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBioc	0.767195767195767	AUROC
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBioc	0.500782050051203	AUPRC
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBioc	0.651723829611242	Weighted LogLoss
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.767195767195767	AUROC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.500782050051203	AUPRC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.656368134793377	Weighted LogLoss
1_modality	Clinical	0.846153846153846	AUROC
1_modality	Clinical	0.544032158317873	AUPRC
1_modality	Clinical	0.563218283119873	Weighted LogLoss
2_modality	ClinicalMethylomics	0.818681318681319	AUROC
2_modality	ClinicalMethylomics	0.519945685784195	AUPRC
2_modality	ClinicalMethylomics	0.628617824388722	Weighted LogLoss
3_modality	ClinicalMethylomicsMetabolomicsBioc	0.824175824175824	AUROC
3_modality	ClinicalMethylomicsMetabolomicsBioc	0.519945685784195	AUPRC
3_modality	ClinicalMethylomicsMetabolomicsBioc	0.635749458410019	Weighted LogLoss
4_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsBioc	0.824175824175824	AUROC
4_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsBioc	0.519945685784195	AUPRC
4_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsBioc	0.641399622120108	Weighted LogLoss
5_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsBioc	0.78021978021978	AUROC
5_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsBioc	0.519945685784195	AUPRC
5_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsBioc	0.619468315528167	Weighted LogLoss
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBioc	0.796703296703297	AUROC
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBioc	0.519945685784195	AUPRC
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBioc	0.64616675137513	Weighted LogLoss
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.802197802197802	AUROC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.519945685784195	AUPRC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.635475264972494	Weighted LogLoss
1_modality	Clinical	0.813186813186813	AUROC
1_modality	Clinical	0.427873992039231	AUPRC
1_modality	Clinical	0.595246036668432	Weighted LogLoss
2_modality	ClinicalOlink	0.796703296703297	AUROC
2_modality	ClinicalOlink	0.483872455864937	AUPRC
2_modality	ClinicalOlink	0.602784641888147	Weighted LogLoss
3_modality	ClinicalTranscriptomicsOlink	0.788359788359788	AUROC
3_modality	ClinicalTranscriptomicsOlink	0.484677827573861	AUPRC
3_modality	ClinicalTranscriptomicsOlink	0.610778873732682	Weighted LogLoss
4_modality	ClinicalTranscriptomicsMetabolomicsMetbOlink	0.736263736263736	AUROC
4_modality	ClinicalTranscriptomicsMetabolomicsMetbOlink	0.436641929499072	AUPRC
4_modality	ClinicalTranscriptomicsMetabolomicsMetbOlink	0.638302953017411	Weighted LogLoss
5_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetbOlink	0.725274725274725	AUROC
5_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetbOlink	0.435810948310948	AUPRC
5_modality	ClinicalMethylomicsTranscriptomicsMetabolomicsMetbOlink	0.647015249166655	Weighted LogLoss
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbOlink	0.725274725274725	AUROC
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbOlink	0.420054042837294	AUPRC
6_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbOlink	0.64604375033495	Weighted LogLoss
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.725274725274725	AUROC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.420054042837294	AUPRC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.639840512124744	Weighted LogLoss
1_modality	Clinical	0.807692307692308	AUROC
1_modality	Clinical	0.499695542552685	AUPRC
1_modality	Clinical	0.55673723901839	Weighted LogLoss
2_modality	ClinicalMethylomics	0.751322751322751	AUROC
